Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,asymmetric,0.61,0.635821089
75% Corpus,5,asymmetric,0.91,0.523290954
75% Corpus,5,asymmetric,symmetric,0.623222705
75% Corpus,6,0.01,0.01,0.521184732
75% Corpus,6,0.01,0.31,0.488241736
75% Corpus,6,0.01,0.61,0.473780304
75% Corpus,6,0.01,0.91,0.544918617
75% Corpus,6,0.01,symmetric,0.529134527
75% Corpus,6,0.31,0.01,0.557099432
75% Corpus,6,0.31,0.31,0.507660128
75% Corpus,6,0.31,0.61,0.496351301
75% Corpus,6,0.31,0.91,0.500438123
75% Corpus,6,0.31,symmetric,0.511938659
75% Corpus,6,0.61,0.01,0.576465118
75% Corpus,6,0.61,0.31,0.556915575
75% Corpus,6,0.61,0.61,0.538149537
75% Corpus,6,0.61,0.91,0.509606379
75% Corpus,6,0.61,symmetric,0.575967901
75% Corpus,6,0.91,0.01,0.569951815
75% Corpus,6,0.91,0.31,0.57373408
75% Corpus,6,0.91,0.61,0.547060691
75% Corpus,6,0.91,0.91,0.538877777
75% Corpus,6,0.91,symmetric,0.579799896
75% Corpus,6,symmetric,0.01,0.529503219
75% Corpus,6,symmetric,0.31,0.514518844
75% Corpus,6,symmetric,0.61,0.476288988
75% Corpus,6,symmetric,0.91,0.533564207
75% Corpus,6,symmetric,symmetric,0.509356992
75% Corpus,6,asymmetric,0.01,0.583358782
75% Corpus,6,asymmetric,0.31,0.587441469
75% Corpus,6,asymmetric,0.61,0.594837291
75% Corpus,6,asymmetric,0.91,0.580595281
75% Corpus,6,asymmetric,symmetric,0.572678223
75% Corpus,7,0.01,0.01,0.509441613
75% Corpus,7,0.01,0.31,0.57675502
75% Corpus,7,0.01,0.61,0.526991308
75% Corpus,7,0.01,0.91,0.522653935
75% Corpus,7,0.01,symmetric,0.566676906
75% Corpus,7,0.31,0.01,0.559735941
75% Corpus,7,0.31,0.31,0.510109154
75% Corpus,7,0.31,0.61,0.508902255
75% Corpus,7,0.31,0.91,0.560453467
75% Corpus,7,0.31,symmetric,0.537079432
75% Corpus,7,0.61,0.01,0.569352149
75% Corpus,7,0.61,0.31,0.557908568
75% Corpus,7,0.61,0.61,0.548272626
75% Corpus,7,0.61,0.91,0.563737369
75% Corpus,7,0.61,symmetric,0.551995309
75% Corpus,7,0.91,0.01,0.584653905
